Time (s),Current (mA)
0.000000,16.54860115
0.000146,16.08296013
0.000291,16.08424187
0.000436,16.09825325
0.000581,16.09901428
0.000727,16.10245895
0.000871,16.09959602
0.001017,16.57293320
0.001162,16.11189651
0.001308,16.13146019
0.001453,16.11672974
0.001598,16.12331009
0.001743,16.14070129
0.001888,16.13658333
0.002033,16.54436874
0.002179,16.14412498
0.002324,16.14658165
0.002469,16.16825104
0.002615,16.17731667
0.002760,16.16035080
0.002905,16.22416878
0.003050,16.48374367
0.003196,16.19137573
0.003341,16.17833519
0.003486,16.19128609
0.003632,16.19905090
0.003776,16.20171547
0.003922,16.50721359
0.004067,16.32932281
0.004213,16.20866203
0.004358,16.20740318
0.004503,16.22024345
0.004648,16.21722221
0.004794,16.21286774
0.004939,17.18592453
0.005084,16.45478630
0.005229,16.23827171
0.005374,16.23115158
0.005520,16.24913406
0.005665,16.23451614
0.005810,16.23961449
0.005955,16.67870331
0.006101,16.25210571
0.006246,16.23314857
0.006391,16.23707390
0.006536,16.22165489
0.006681,16.23503304
0.006827,16.22544670
0.006972,16.67227745
0.007117,16.22377968
0.007262,16.21930695
0.007408,16.21579742
0.007553,16.20280457
0.007698,16.21991730
0.007843,16.21503448
0.007989,16.65870667
0.008134,16.20380402
0.008280,16.19872475
0.008424,16.19265366
0.008570,16.18157005
0.008715,16.18462563
0.008860,16.17955399
0.009005,16.63052559
0.009151,16.16672897
0.009296,16.15419579
0.009442,16.14989853
0.009586,16.15627861
0.009732,16.14618874
0.009877,16.14571190
0.010022,16.54711723
0.010167,16.11677170
0.010313,16.12161255
0.010458,16.11491394
0.010603,16.10762405
0.010748,16.11381340
0.010894,16.10643005
0.011039,16.49315453
0.011184,16.10619164
0.011329,16.09348297
0.011475,16.07580757
0.011620,16.08137703
0.011765,16.08664894
0.011910,16.22811127
0.012056,16.31618690
0.012201,16.06762505
0.012346,16.07558823
0.012491,16.07198524
0.012637,16.06970596
0.012781,16.06432533
0.012927,16.40292931
0.013072,16.14061356
0.013218,16.05710411
0.013363,16.06101227
0.013508,16.05836487
0.013653,16.07042503
0.013799,16.06233597
0.013943,16.47496033
0.014089,16.08766937
0.014234,16.04866600
0.014379,16.05890656
0.014524,16.04690742
0.014670,16.06561089
0.014815,16.04949379
0.014960,16.49617386
0.015106,16.05994797
0.015251,16.06601906
0.015396,16.06658745
0.015541,16.05526161
0.015686,16.05838013
0.015832,16.06866264
0.015977,16.52137756
0.016123,16.07198143
0.016268,16.07695770
0.016413,16.07378769
0.016558,16.07198334
0.016703,16.08029366
0.016848,16.08077049
0.016994,16.53250504
0.017139,16.06903458
0.017285,16.08638382
0.017430,16.10998917
0.017575,16.09543228
0.017720,16.09784126
0.017865,16.12024307
0.018010,16.55755806
0.018156,16.13238907
0.018301,16.13920403
0.018446,16.12091637
0.018591,16.15777016
0.018737,16.13276291
0.018881,16.15475845
0.019027,16.56028938
0.019172,16.15729713
0.019318,16.14239311
0.019463,16.15434647
0.019608,16.17549515
0.019753,16.17107391
0.019898,16.17258453
0.020043,17.28047371
0.020189,16.17371750
0.020334,16.18404388
0.020480,16.20716476
0.020625,16.18964005
0.020770,16.19562149
0.020915,16.43322754
0.021061,16.38372803
0.021206,16.20939636
0.021351,16.21313095
0.021496,16.22525406
0.021642,16.22427750
0.021787,16.23607826
0.021932,16.60083389
0.022077,16.30008507
0.022223,16.23306274
0.022368,16.23379707
0.022513,16.22981071
0.022658,16.24345016
0.022804,16.23920441
0.022949,16.64217186
0.023094,16.27095985
0.023239,16.21542931
0.023385,16.22377968
0.023530,16.21325493
0.023675,16.21472931
0.023820,16.21707344
0.023966,16.65611839
0.024111,16.22117615
0.024256,16.20681953
0.024401,16.21486282
0.024547,16.18872643
0.024692,16.20445251
0.024837,16.19783783
0.024982,16.64421463
0.025128,16.18120003
0.025273,16.17657661
0.025418,16.18464470
0.025563,16.16115952
0.025708,16.17714310
0.025854,16.15200043
0.025999,16.60389328
0.026145,16.14061737
0.026290,16.13738823
0.026435,16.13703346
0.026580,16.13224411
0.026725,16.12582397
0.026871,16.12794495
0.027016,16.56239510
0.027161,16.11747169
0.027306,16.10384941
0.027452,16.09690475
0.027597,16.10298347
0.027742,16.09391403
0.027887,16.07790565
0.028032,16.46183395
0.028178,16.08159447
0.028323,16.06760597
0.028468,16.07571793
0.028614,16.06307030
0.028758,16.07888794
0.028904,16.11026573
0.029049,16.38524055
0.029195,16.06088448
0.029340,16.04609299
0.029485,16.03339958
0.029630,16.04244232
0.029775,16.06322479
0.029920,16.34774017
0.030066,16.18759918
0.030211,16.05034065
0.030357,16.04491806
0.030502,16.03710938
0.030647,16.04268074
0.030792,16.05400467
0.030937,16.46003532
0.031082,16.09528160
0.031228,16.05333138
0.031373,16.06020546
0.031518,16.04794884
0.031663,16.05493355
0.031809,16.05547714
0.031954,16.49222755
0.032099,16.06844521
0.032244,16.05541229
0.032390,16.06970787
0.032535,16.05421829
0.032680,16.05263329
0.032825,16.06790733
0.032971,16.51660156
0.033116,16.06450272
0.033261,16.08027077
0.033406,16.08690834
0.033552,16.07885742
0.033697,16.08632088
0.033842,16.09571838
0.033987,16.54994202
0.034133,16.09398079
0.034278,16.10951424
0.034423,16.12029076
0.034568,16.09627724
0.034714,16.11801720
0.034859,16.12469292
0.035004,17.35851288
0.035149,16.13588524
0.035295,16.12710190
0.035440,16.13265419
0.035585,16.14020729
0.035730,16.15758133
0.035876,16.15929413
0.036021,16.60402298
0.036166,16.17117691
0.036311,16.17577934
0.036457,16.18195534
0.036602,16.18107224
0.036747,16.20206642
0.036892,16.19425774
0.037038,16.59900856
0.037183,16.20739937
0.037328,16.20475197
0.037473,16.20677185
0.037618,16.22345352
0.037763,16.20679092
0.037909,16.33583260
0.038054,16.49996758
0.038199,16.20681763
0.038344,16.22909164
0.038490,16.21152878
0.038635,16.21729279
0.038781,16.22568703
0.038926,16.57170105
0.039071,16.34091187
0.039216,16.23883247
0.039362,16.24330139
0.039506,16.24425697
0.039652,16.24085045
0.039797,16.24249840
0.039942,16.63921928
0.040088,16.26800346
0.040233,16.22670364
0.040378,16.24436188
0.040523,16.22662163
0.040669,16.21234703
0.040814,16.22123909
0.040959,16.65321350
0.041105,16.23638344
0.041250,16.20397758
0.041395,16.20790672
0.041540,16.18777466
0.041686,16.18267441
0.041830,16.18564606
0.041976,16.63137245
0.042121,16.17772865
0.042266,16.16861534
0.042411,16.16870308
0.042557,16.15428352
0.042702,16.13781929
0.042847,16.15768814
0.042992,16.59727669
0.043138,16.12612915
0.043283,16.12942314
0.043428,16.13441086
0.043573,16.11176300
0.043719,16.12484741
0.043864,16.11267662
0.044009,16.58066177
0.044154,16.10864639
0.044300,16.10263824
0.044445,16.08968353
0.044590,16.10081100
0.044735,16.10352135
0.044881,16.07330513
0.045026,16.50378227
0.045171,16.09311485
0.045316,16.07921028
0.045462,16.07759666
0.045607,16.07742882
0.045752,16.07461166
0.045897,16.06426430
0.046043,16.46858025
0.046188,16.06896973
0.046333,16.05588913
0.046478,16.07274628
0.046624,16.07473946
0.046769,16.05751801
0.046914,16.27175522
0.047060,16.26522827
0.047205,16.05890465
0.047350,16.05866814
0.047496,16.05276299
0.047641,16.07933807
0.047786,16.06129265
0.047931,16.42771912
0.048077,16.12528229
0.048222,16.05734634
0.048367,16.06576157
0.048512,16.06091881
0.048658,16.05096626
0.048803,16.07128716
0.048948,16.48791122
0.049093,16.09662437
0.049239,16.06467628
0.049384,16.08202744
0.049529,16.07508850
0.049674,16.08909416
0.049820,16.08376122
0.049965,17.26951790
0.050110,16.12914276
0.050255,16.10059738
0.050401,16.08328819
0.050546,16.09532356
0.050691,16.09189796
0.050836,16.10686493
