Timestamp(ms),Current(uA)
0,79562.328
0.1,79532.625
0.2,79417.055
0.3,80199.609
0.4,80952.922
0.5,80074.281
0.6,79573.648
0.7,80422.898
0.8,79868.688
0.9,79562.156
1,79892.375
1.1,80133.414
1.2,80092.102
1.3,79722.992
1.4,80192.781
1.5,80453.086
1.6,80086.531
1.7,80451.297
1.8,80435.500
1.9,80746.406
2,80735.898
2.1,80292.945
2.2,79894.508
2.3,80616.797
2.4,80848.766
2.5,80486.102
2.6,81031.391
2.7,80341.453
2.8,80903.125
2.9,80481.273
3,80072.367
3.1,80212.297
3.2,80103.742
3.3,80128.539
3.4,80819.070
3.5,80647.938
3.6,80403.703
3.7,80731.250
3.8,80419.891
3.9,80171.219
4,79672.953
4.1,80215.867
4.2,80379.891
4.3,80000.539
4.4,79648.313
4.5,79885.734
4.6,80834.734
4.7,81845.891
4.8,82118.672
4.9,82393.016
5,81554.234
5.1,81234.297
5.2,80318.492
5.3,80284.406
5.4,80162.078
5.5,80383.336
5.6,80560.328
5.7,80630.977
5.8,80231.656
5.9,80220.203
6,80037.844
6.1,80229.547
6.2,80449.891
6.3,80452.438
6.4,79844.055
6.5,80377.359
6.6,80441.547
6.7,79965.906
6.8,79845.008
6.9,79967.789
7,80157.563
7.1,79980.492
7.2,79867.969
7.3,80219.172
7.4,80921.906
7.5,80348.258
7.6,81027.352
7.7,82398.102
7.8,83275.789
7.9,83275.805
8,83580.930
8.1,83932.289
8.2,84039.484
8.3,81435.047
8.4,80416.805
8.5,80188.586
8.6,80144.578
8.7,79614.422
8.8,80612.813
8.9,80407.578
9,80083.086
9.1,80321.852
9.2,80634.117
9.3,80419.039
9.4,81184.641
9.5,81252.867
9.6,81451.391
9.7,80820.078
9.8,80511.023
9.9,80114.461
10,80160.602
10.1,80279.172
10.2,80740.109
10.3,80891.891
10.4,81421.484
10.5,80265.625
10.6,80258.594
10.7,80778.297
10.8,79151.648
10.9,78444.156
11,78360.164
11.1,78905.883
11.2,79875.273
11.3,80413.883
11.4,80292.281
11.5,80470.305
11.6,80748.688
11.7,80282.984
11.8,80052.945
11.9,80407.992
12,79978.836
12.1,80223.328
12.2,80046.695
12.3,79666.266
12.4,80589.484
12.5,80147.891
12.6,80533.320
12.7,80057.773
12.8,80452.656
12.9,80491.609
13,80444.172
13.1,80058.531
13.2,79994.266
13.3,79757.930
13.4,81164.578
13.5,80739.852
13.6,80202.727
13.7,80325.555
13.8,80471.742
13.9,79841.766
14,80709.438
14.1,80373.758
14.2,80288.086
14.3,80585.398
14.4,80866.383
14.5,80863.555
14.6,80181.508
14.7,80204.477
14.8,79603.969
14.9,80273.070
15,80002.563
15.1,80072.531
15.2,79971.523
15.3,80486.320
15.4,80694.617
15.5,80590.211
15.6,80416.414
15.7,81056.203
15.8,83474.508
15.9,84099.508
16,82357.383
16.1,80685.758
16.2,80407.383
16.3,80102.992
16.4,80431.852
16.5,82422.969
16.6,81239.484
16.7,80379.805
16.8,80456.836
16.9,80373.750
17,81147.500
17.1,81696.852
17.2,81238.875
17.3,81143.000
17.4,81730.820
17.5,81267.422
17.6,80424.125
17.7,80657.266
17.8,80159.375
17.9,80589.711
18,80587.516
18.1,80625.516
18.2,80572.836
18.3,81184.398
18.4,81008.188
18.5,80531.563
18.6,80490.727
18.7,80226.625
18.8,80285.000
18.9,80895.930
19,80784.703
19.1,80704.820
19.2,80378.945
19.3,80098.930
19.4,79937.766
19.5,80122.609
19.6,80063.156
19.7,80094.586
19.8,80339.805
19.9,80360.398
20,80827.063
20.1,80155.977
20.2,79618.461
20.3,80306.891
20.4,80706.469
20.5,80342.523
20.6,80326.008
20.7,80041.672
20.8,80506.563
20.9,79979.922
21,80378.258
21.1,79749.898
21.2,80198.766
21.3,79993.914
21.4,80166.688
21.5,80150.094
21.6,79768.023
21.7,80171.422
