Time (s),Current (mA)
4.298793,0.79313457
4.298938,0.79567111
4.299083,0.79465461
4.299229,0.79589123
4.299374,0.79302657
4.299519,0.79759049
4.299664,0.79424709
4.299810,0.79511297
4.299955,0.79346460
4.300101,0.79825681
4.300246,0.79542077
4.300391,0.79619879
4.300536,0.79512125
4.300681,0.79787797
4.300827,0.79490519
4.300972,0.79227436
4.301117,0.79433048
4.301263,0.79546958
4.301408,0.79204631
4.301553,0.79734004
4.301698,0.79446882
4.301844,0.79792684
4.301989,0.79268187
4.302134,0.79431611
4.302279,0.79392493
4.302424,0.80185717
4.302569,0.79270244
4.302715,0.79580975
4.302860,0.79306734
4.303006,0.79469317
4.303151,0.79017591
4.303296,0.79931855
4.303441,0.79034495
4.303586,0.79728305
4.303731,0.79757226
4.303877,0.79130459
4.304022,0.79848528
4.304168,0.79871333
4.304313,0.79326087
4.304458,0.79322636
4.304603,0.79986846
4.304748,0.79357678
4.304894,0.79414511
4.305039,0.79797167
4.305184,0.79313242
4.305330,0.79557741
4.305474,0.79435891
4.305620,0.79937363
4.305765,0.79746449
4.305911,0.79543293
4.306055,0.79857475
4.306201,0.79624587
4.306346,0.79524344
4.306491,0.79398412
4.306636,0.79798186
4.306782,0.79300636
4.306927,0.79707301
4.307072,0.79653096
4.307218,0.79416972
4.307363,0.79279006
4.307508,0.79690367
4.307653,0.79633337
4.307798,0.79428351
4.307944,0.79490709
4.308089,0.79605609
4.308235,0.79724038
4.308380,0.79525578
4.308525,0.79159212
4.308670,0.80053699
4.308815,0.79729122
4.308961,0.79947323
4.309106,0.79102564
4.309251,0.79986417
4.309397,0.79332840
4.309542,0.79645962
4.309687,0.79524541
4.309832,0.79996032
4.309977,0.79298568
4.310123,0.80121934
4.310268,0.79598272
4.310413,0.79470521
4.310558,0.79573441
4.310703,0.80040044
4.310849,0.79439580
4.310994,0.79543871
4.311139,0.79532295
4.311285,0.79607272
4.311430,0.79411256
4.311575,0.79546368
4.311720,0.79873168
4.311865,0.79474801
4.312011,0.79751319
4.312156,0.79391885
4.312302,0.79473817
4.312447,0.79863179
4.312592,0.80055326
4.312737,0.79147983
4.312882,0.79913503
4.313027,0.79579145
4.313173,0.79783505
4.313318,0.79684877
4.313464,0.79418778
4.313608,0.79881334
4.313754,0.79842186
4.313899,0.79476440
4.314044,0.79593003
4.314190,0.79638439
4.314335,0.79790020
4.314480,0.79699153
4.314626,0.79723406
4.314770,0.79677141
4.314916,0.79642487
4.315061,0.79628253
4.315207,0.79302037
4.315351,0.79264361
4.315497,0.79731339
4.315642,0.79309154
4.315787,0.79734784
4.315932,0.79340327
4.316078,0.80016786
4.316223,0.78944057
4.316369,0.79953444
4.316514,0.79109716
4.316659,0.79800028
4.316804,0.79453439
4.316949,0.79647619
4.317094,0.79662871
4.317240,0.79642117
4.317385,0.79339522
4.317530,0.79445285
4.317675,0.79539001
4.317821,0.79708129
4.317966,0.79514766
4.318111,0.79753530
4.318256,0.79499686
4.318402,0.79404932
4.318547,0.79568964
4.318692,0.79537600
4.318837,0.79693890
4.318982,0.79316312
4.319127,0.79484993
4.319273,0.79610938
4.319418,0.79546356
4.319564,0.79607487
4.319708,0.79631102
4.319854,0.79686522
4.319999,0.79316705
4.320144,0.79553694
4.320290,0.80136001
4.320435,0.79464447
4.320580,0.79347485
4.320725,0.79087281
4.320870,0.79965669
4.321016,0.79627615
4.321161,0.79637229
4.321307,0.79473186
4.321452,0.79430002
4.321597,0.79304683
4.321742,0.79823464
4.321887,0.79918611
4.322032,0.79995632
4.322178,0.79690188
4.322323,0.79299569
4.322469,0.79751134
4.322614,0.79333621
4.322759,0.79839534
4.322904,0.79877639
4.323049,0.79721373
4.323194,0.79239082
4.323340,0.79455489
4.323485,0.79728287
4.323630,0.79683053
4.323775,0.79741341
4.323921,0.79369491
4.324066,0.79913336
4.324211,0.79460561
4.324356,0.79834843
4.324502,0.79638422
4.324647,0.79630697
4.324792,0.79624158
4.324937,0.79797977
4.325083,0.79537547
4.325228,0.80037779
4.325374,0.79596466
4.325519,0.79454440
4.325664,0.79674906
4.325809,0.79824466
4.325954,0.79666764
4.326099,0.79492557
4.326245,0.79743361
