Timestamp(ms),Current(uA)
0,873.550
0.1,868.126
0.2,869.987
0.3,873.066
0.4,869.145
0.5,868.016
0.6,870.250
0.7,867.147
0.8,866.607
0.9,865.485
1,865.385
1.1,878.037
1.2,867.230
1.3,868.317
1.4,871.773
1.5,868.390
1.6,868.609
1.7,868.434
1.8,871.543
1.9,875.380
2,878.626
2.1,872.162
2.2,870.736
2.3,875.603
2.4,868.897
2.5,872.746
2.6,865.860
2.7,867.031
2.8,872.592
2.9,868.517
3,869.575
3.1,870.310
3.2,872.043
3.3,872.659
3.4,869.793
3.5,869.904
3.6,871.164
3.7,874.057
3.8,869.131
3.9,867.052
4,865.933
4.1,867.279
4.2,870.295
4.3,871.478
4.4,866.827
4.5,868.120
4.6,862.644
4.7,869.316
4.8,874.370
4.9,866.751
5,873.248
5.1,874.618
5.2,873.480
5.3,872.233
5.4,871.134
5.5,866.046
5.6,870.537
5.7,871.629
5.8,870.630
5.9,866.672
6,866.391
6.1,870.862
6.2,873.397
6.3,867.018
6.4,868.782
6.5,867.493
6.6,873.404
6.7,873.251
6.8,868.687
6.9,870.306
7,873.038
7.1,873.731
7.2,872.882
7.3,864.975
7.4,869.083
7.5,871.428
7.6,868.589
7.7,869.354
7.8,871.051
7.9,869.560
8,865.505
8.1,872.880
8.2,864.521
8.3,870.025
8.4,870.139
8.5,870.119
8.6,870.107
8.7,868.211
8.8,866.137
8.9,874.881
9,871.543
9.1,871.491
9.2,871.489
9.3,867.956
9.4,871.215
9.5,873.225
9.6,870.964
9.7,871.771
9.8,874.249
9.9,874.311
10,872.743
10.1,866.135
10.2,868.175
10.3,874.425
10.4,867.735
10.5,874.760
10.6,872.531
10.7,875.027
10.8,872.536
10.9,868.186
11,874.075
11.1,870.091
11.2,873.854
11.3,872.696
11.4,869.197
11.5,872.752
11.6,869.327
11.7,873.243
11.8,869.373
11.9,871.573
12,873.692
12.1,871.521
12.2,875.403
12.3,870.581
12.4,864.974
12.5,869.038
12.6,867.658
12.7,873.003
12.8,873.989
12.9,868.924
13,869.663
13.1,869.864
13.2,870.681
13.3,870.318
13.4,874.319
13.5,869.212
13.6,874.615
13.7,877.678
13.8,868.176
13.9,871.041
14,873.308
14.1,871.092
14.2,871.899
14.3,870.870
14.4,873.220
14.5,872.962
14.6,876.851
14.7,870.433
14.8,869.950
14.9,870.995
15,872.313
15.1,869.145
15.2,873.781
15.3,876.807
15.4,878.141
15.5,872.748
15.6,874.510
15.7,874.943
15.8,874.721
15.9,876.679
16,873.550
16.1,874.206
16.2,872.444
16.3,873.427
16.4,877.236
16.5,872.598
16.6,876.997
16.7,872.971
16.8,872.672
16.9,874.821
17,869.645
17.1,878.579
17.2,873.127
17.3,873.962
17.4,873.956
17.5,874.432
17.6,872.982
17.7,868.708
17.8,870.350
17.9,870.467
18,869.688
18.1,872.856
18.2,872.469
18.3,871.956
18.4,871.469
18.5,867.187
18.6,874.783
18.7,876.129
18.8,873.975
18.9,876.153
19,870.973
19.1,868.765
19.2,873.209
19.3,877.470
19.4,876.612
19.5,869.678
19.6,876.997
19.7,871.390
19.8,874.903
19.9,878.348
20,873.128
20.1,871.410
20.2,867.711
20.3,871.992
20.4,873.196
20.5,869.254
20.6,866.742
20.7,869.620
20.8,872.010
20.9,874.662
21,871.495
21.1,872.379
21.2,869.577
21.3,878.216
21.4,872.828
21.5,868.744
21.6,870.109
21.7,870.294
21.8,873.716
21.9,874.749
22,872.901
22.1,874.892
22.2,867.010
22.3,872.582
22.4,871.196
22.5,877.648
22.6,868.648
22.7,872.264
22.8,871.041
22.9,868.551
23,869.929
23.1,867.930
23.2,869.321
23.3,871.043
23.4,870.285
23.5,875.187
23.6,869.664
23.7,873.896
23.8,872.650
23.9,874.140
24,867.345
24.1,873.372
24.2,875.779
24.3,872.922
24.4,870.288
24.5,869.809
24.6,873.647
24.7,876.376
24.8,873.185
24.9,870.893
25,871.959
25.1,873.538
25.2,867.925
25.3,872.362
25.4,876.148
25.5,878.032
25.6,866.001
25.7,875.050
25.8,873.197
25.9,872.932
26,873.098
26.1,878.057
26.2,874.227
26.3,876.337
26.4,874.239
26.5,869.841
26.6,872.588
26.7,869.215
26.8,870.776
26.9,871.116
27,869.019
27.1,870.106
27.2,869.912
27.3,873.514
27.4,873.309
27.5,872.496
27.6,873.494
27.7,871.231
27.8,872.014
27.9,873.825
28,874.056
28.1,873.397
28.2,873.172
28.3,872.856
28.4,874.677
28.5,875.704
28.6,873.658
28.7,874.173
28.8,873.583
28.9,873.065
29,873.707
29.1,871.296
29.2,870.846
29.3,875.785
29.4,871.619
29.5,869.822
29.6,873.128
29.7,873.095
29.8,868.805
29.9,874.477
30,873.354
30.1,876.022
30.2,874.880
30.3,874.949
30.4,875.754
30.5,868.949
30.6,872.519
30.7,869.307
30.8,868.776
30.9,878.886
31,874.164
31.1,872.084
31.2,873.029
31.3,868.090
31.4,872.867
31.5,873.180
31.6,871.475
31.7,867.454
31.8,869.030
31.9,870.711
32,877.751
32.1,868.487
32.2,870.304
32.3,869.817
32.4,874.205
32.5,872.820
32.6,871.112
32.7,869.037
32.8,868.982
32.9,870.279
33,868.969
33.1,869.312
33.2,867.705
33.3,870.297
33.4,872.733
33.5,866.488
33.6,873.810
33.7,868.057
33.8,867.416
33.9,871.010
34,869.297
34.1,874.463
34.2,869.948
34.3,867.311
34.4,869.556
34.5,875.133
34.6,875.026
34.7,871.199
34.8,868.151
34.9,872.471
35,873.154
35.1,868.320
35.2,868.725
35.3,871.665
35.4,871.216
35.5,872.461
35.6,869.645
35.7,872.691
35.8,872.511
35.9,869.283
36,872.634
36.1,873.212
36.2,869.087
36.3,870.711
36.4,868.562
36.5,872.269
36.6,872.188
36.7,866.466
36.8,870.558
36.9,871.106
37,871.377
37.1,868.344
37.2,865.323
37.3,868.277
37.4,863.235
37.5,869.028
37.6,866.983
37.7,867.308
37.8,873.318
37.9,875.959
38,866.335
38.1,866.242
38.2,866.278
38.3,872.075
38.4,870.608
38.5,875.318
38.6,870.195
38.7,867.498
38.8,868.321
38.9,869.766
39,868.478
39.1,874.963
39.2,870.254
39.3,870.938
39.4,867.384
39.5,868.681
39.6,870.523
39.7,865.714
39.8,869.011
39.9,871.547
40,872.338
40.1,869.621
40.2,872.371
40.3,876.784
40.4,872.846
40.5,874.141
40.6,872.631
40.7,870.498
40.8,869.667
40.9,868.746
41,867.663
41.1,869.552
41.2,876.561
41.3,873.143
41.4,869.321
41.5,866.549
41.6,874.468
41.7,874.513
41.8,870.243
41.9,872.556
42,870.854
42.1,867.566
42.2,875.196
42.3,866.906
42.4,870.136
42.5,875.269
42.6,872.107
42.7,868.678
42.8,869.651
42.9,872.552
43,869.965
43.1,873.622
43.2,871.161
43.3,865.950
43.4,871.597
43.5,868.554
43.6,868.436
43.7,871.119
43.8,871.675
43.9,874.726
44,870.837
44.1,874.792
44.2,868.445
44.3,867.356
44.4,868.880
44.5,866.824
44.6,873.619
44.7,870.478
44.8,873.827
44.9,870.649
45,864.000
45.1,866.507
45.2,868.372
45.3,866.740
45.4,870.048
45.5,872.938
45.6,869.970
45.7,875.136
45.8,869.674
45.9,868.959
46,867.489
46.1,870.947
46.2,869.273
46.3,873.690
46.4,868.592
46.5,875.746
46.6,868.407
46.7,870.802
46.8,869.448
46.9,871.906
47,872.214
47.1,867.141
47.2,873.063
47.3,872.170
47.4,871.776
47.5,864.310
47.6,870.786
47.7,879.732
47.8,874.601
47.9,869.566
48,872.120
48.1,870.434
48.2,874.511
48.3,877.694
48.4,868.121
48.5,871.367
48.6,874.197
48.7,869.312
48.8,868.884
48.9,866.824
49,874.881
49.1,871.549
49.2,865.054
49.3,868.115
49.4,864.804
49.5,869.949
49.6,867.071
49.7,871.062
49.8,869.485
49.9,869.743
50,874.061
50.1,866.644
50.2,868.927
50.3,871.977
50.4,871.451
50.5,868.987
50.6,873.033
50.7,868.489
50.8,870.689
50.9,868.180
51,874.331
51.1,871.758
51.2,873.464
51.3,868.668
51.4,868.866
51.5,873.383
51.6,867.307
51.7,874.885
51.8,876.947
51.9,866.853
52,869.862
52.1,874.544
52.2,872.450
52.3,875.216
52.4,872.949
52.5,873.926
52.6,869.888
52.7,868.114
52.8,864.731
52.9,864.921
53,871.551
53.1,860.342
53.2,865.122
53.3,869.387
53.4,872.154
53.5,865.171
53.6,865.097
53.7,864.475
53.8,869.069
53.9,865.400
54,869.743
54.1,874.198
54.2,870.239
54.3,871.293
54.4,870.506
54.5,874.231
54.6,873.909
54.7,872.342
54.8,872.206
54.9,871.027
55,868.382
55.1,868.264
55.2,872.306
55.3,870.700
55.4,868.389
55.5,872.250
55.6,865.426
55.7,869.769
55.8,868.813
55.9,872.740
56,873.682
56.1,866.961
56.2,873.226
56.3,870.082
56.4,864.525
56.5,867.344
56.6,873.497
56.7,871.019
56.8,870.541
56.9,875.500
57,868.815
57.1,871.084
57.2,868.723
57.3,871.195
57.4,868.237
57.5,869.742
57.6,874.391
57.7,871.503
57.8,866.240
57.9,870.286
58,870.066
58.1,871.795
58.2,872.246
58.3,870.384
58.4,877.013
58.5,869.434
58.6,867.870
58.7,873.092
58.8,873.580
58.9,875.519
59,870.202
59.1,868.297
59.2,869.040
59.3,873.779
59.4,865.890
59.5,869.269
59.6,872.078
59.7,869.898
59.8,873.528
59.9,871.958
60,874.546
60.1,871.325
60.2,872.199
60.3,872.078
60.4,874.540
60.5,873.407
