Timestamp(ms),Current(uA)
0,0.190
0.1,0.248
0.2,0.136
0.3,0.212
0.4,0.235
0.5,0.170
0.6,0.125
0.7,0.090
0.8,0.091
0.9,0.086
1,0.102
1.1,0.116
1.2,0.126
1.3,0.205
1.4,0.209
1.5,0.180
1.6,0.139
1.7,0.148
1.8,0.155
1.9,0.186
2,0.179
2.1,0.172
2.2,0.181
2.3,0.159
2.4,0.141
2.5,0.090
2.6,0.072
2.7,0.123
2.8,0.137
2.9,0.105
3,0.136
3.1,0.173
3.2,0.137
3.3,0.177
3.4,0.077
3.5,0.200
3.6,0.161
3.7,0.222
3.8,0.214
3.9,0.182
4,0.209
4.1,0.190
4.2,0.144
4.3,0.176
4.4,0.201
4.5,0.259
4.6,0.254
4.7,0.161
4.8,0.176
4.9,0.188
5,0.220
5.1,0.242
5.2,0.146
5.3,0.201
5.4,0.196
5.5,0.194
5.6,0.174
5.7,0.128
5.8,0.120
5.9,0.165
6,0.171
6.1,0.178
6.2,0.138
6.3,0.160
6.4,0.129
6.5,0.188
6.6,0.178
6.7,0.141
6.8,0.120
6.9,0.134
7,0.121
7.1,0.115
7.2,0.143
7.3,0.182
7.4,0.146
7.5,0.152
7.6,0.156
7.7,0.189
7.8,0.202
7.9,0.151
8,0.170
8.1,0.143
8.2,0.160
8.3,0.182
8.4,0.199
8.5,0.158
8.6,0.215
8.7,0.140
8.8,0.169
8.9,0.239
9,0.164
9.1,0.125
9.2,0.117
9.3,0.171
9.4,0.177
9.5,0.160
9.6,0.157
9.7,0.107
9.8,0.154
9.9,0.211
10,0.202
10.1,0.200
10.2,0.202
10.3,0.231
10.4,0.177
10.5,0.130
10.6,0.125
10.7,0.161
10.8,0.219
10.9,0.235
11,0.150
11.1,0.114
11.2,0.114
11.3,0.174
11.4,0.130
11.5,0.146
11.6,0.187
11.7,0.097
11.8,0.161
11.9,0.108
12,0.071
12.1,0.078
12.2,0.205
12.3,0.164
12.4,0.192
12.5,0.198
12.6,0.145
12.7,0.164
12.8,0.124
12.9,0.090
13,0.090
13.1,0.090
13.2,0.208
13.3,0.143
13.4,0.187
13.5,0.165
13.6,0.109
13.7,0.196
13.8,0.203
13.9,0.146
14,0.148
14.1,0.190
14.2,0.207
14.3,0.249
14.4,0.182
14.5,0.118
14.6,0.096
14.7,0.120
14.8,0.124
14.9,0.181
15,0.138
15.1,0.128
15.2,0.158
15.3,0.201
15.4,0.210
15.5,0.187
15.6,0.231
15.7,0.141
15.8,0.101
15.9,0.191
16,0.218
16.1,0.156
16.2,0.144
16.3,0.098
16.4,0.073
16.5,0.169
16.6,0.136
16.7,0.168
16.8,0.195
16.9,0.123
17,0.090
17.1,0.150
17.2,0.148
17.3,0.152
17.4,0.124
17.5,0.162
17.6,0.141
17.7,0.164
17.8,0.124
